City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
237,Birjand,IR,2021-09-23 19:43:25,32.8663,59.2211,68.47,11,0,6.91
238,San Ignacio,BZ,2021-09-23 19:43:25,17.1561,-89.0714,84.34,74,40,6.91
239,Pacet,ID,2021-09-23 19:43:26,-8.0786,111.8818,75.78,93,100,2.64
240,Victor Harbor,AU,2021-09-23 19:43:26,-35.5667,138.6167,53.01,87,5,10.09
241,Hobbs,US,2021-09-23 19:43:26,32.7026,-103.136,86.34,21,1,5.99
242,Jumla,NP,2021-09-23 19:43:27,29.2747,82.1838,59.63,93,99,0.49
243,Glendive,US,2021-09-23 19:43:27,47.1053,-104.7125,76.62,27,1,11.5
244,Mahebourg,MU,2021-09-23 19:43:27,-20.4081,57.7,73.69,78,75,12.66
245,Kenai,US,2021-09-23 19:43:21,60.5544,-151.2583,42.15,70,90,21.85
246,San Borja,BO,2021-09-23 19:43:28,-14.8167,-66.85,99.07,26,95,2.73
247,Cidreira,BR,2021-09-23 19:43:28,-30.1811,-50.2056,64.04,77,99,19.8
248,Verkhnevilyuysk,RU,2021-09-23 19:43:29,63.4453,120.3167,39.56,79,100,3.62
249,Codrington,AU,2021-09-23 19:43:29,-38.2667,141.9667,51.39,89,97,18.43
250,Chapais,CA,2021-09-23 19:43:29,49.7834,-74.8492,47.98,97,100,10.71
251,Pitimbu,BR,2021-09-23 19:43:30,-7.4706,-34.8086,82.99,73,59,12.01
252,Ruwi,OM,2021-09-23 19:43:30,23.5996,58.5507,87.49,66,34,7.72
253,Kencong,ID,2021-09-23 19:43:30,-8.2833,113.3667,75.78,86,100,1.48
254,Juegang,CN,2021-09-23 19:43:30,32.3174,121.1855,73.06,93,89,11.25
255,Khonsa,IN,2021-09-23 19:43:31,27.0167,95.5667,67.73,91,67,3.85
256,Riachao Das Neves,BR,2021-09-23 19:43:31,-11.7461,-44.91,96.19,20,38,7.07
257,Hualmay,PE,2021-09-23 19:43:31,-11.0964,-77.6139,66.97,72,29,9.55
258,Mantua,IT,2021-09-23 19:43:32,45.1667,10.7833,66.52,76,12,0.85
259,Sistranda,NO,2021-09-23 19:43:32,63.7256,8.834,48.9,68,98,22.53
260,Kiunga,PG,2021-09-23 19:43:32,-6.1219,141.2906,72.81,100,100,1.92
261,Devils Lake,US,2021-09-23 19:43:33,48.1128,-98.8651,71.58,40,1,10.36
262,Ilo,PE,2021-09-23 19:43:33,-17.6394,-71.3375,61.66,77,90,8.05
263,Kununurra,AU,2021-09-23 19:43:33,-15.7667,128.7333,51.78,76,36,0.0
264,Kruisfontein,ZA,2021-09-23 19:43:34,-34.0033,24.7314,61.88,71,17,17.94
265,Qingdao,CN,2021-09-23 19:43:34,36.0986,120.3719,71.2,94,0,6.71
266,Jibuti,DJ,2021-09-23 19:43:34,11.5,42.5,88.21,39,0,4.25
267,Zaysan,KZ,2021-09-23 19:43:35,47.4667,84.8667,44.37,43,100,3.33
268,Shitanjing,CN,2021-09-23 19:43:35,39.2342,106.3439,60.35,74,100,5.75
269,Albanel,CA,2021-09-23 19:43:35,48.8832,-72.4487,53.74,100,100,6.91
270,Broken Hill,AU,2021-09-23 19:43:36,-31.95,141.4333,58.71,38,5,11.5
271,Mount Gambier,AU,2021-09-23 19:43:36,-37.8333,140.7667,51.71,87,90,13.8
272,Guerrero Negro,MX,2021-09-23 19:43:36,27.9769,-114.0611,86.76,48,0,4.09
273,Gat,IL,2021-09-23 19:43:37,31.61,34.7642,77.68,65,3,7.11
274,Bilma,NE,2021-09-23 19:43:37,18.6853,12.9164,88.95,12,2,2.06
275,Nanortalik,GL,2021-09-23 19:43:37,60.1432,-45.2371,36.88,76,7,21.63
276,Shache,CN,2021-09-23 19:43:38,38.4167,77.2406,68.95,22,0,6.13
277,Zhigansk,RU,2021-09-23 19:43:38,66.7697,123.3711,36.75,84,88,2.28
278,Mwingi,KE,2021-09-23 19:43:38,-0.9344,38.0601,68.76,65,20,11.34
279,Vostok,RU,2021-09-23 19:43:39,46.4856,135.8833,38.46,94,0,1.19
280,Porto Novo,BJ,2021-09-23 19:43:39,6.4965,2.6036,80.42,86,77,5.32
281,Rybinsk,RU,2021-09-23 19:43:39,58.0446,38.8426,47.98,96,100,7.4
282,Korla,CN,2021-09-23 19:43:40,41.7597,86.1469,67.17,28,0,8.08
283,Ucluelet,CA,2021-09-23 19:43:40,48.9329,-125.5528,68.09,78,59,3.4
284,Padang,ID,2021-09-23 19:43:40,-0.9492,100.3543,77.05,87,84,3.47
285,Kropotkin,RU,2021-09-23 19:43:41,45.4375,40.5756,53.04,90,100,3.67
